team,matches_played,wins,win_percent
Mumbai Indians,261,144,55.17
Royal Challengers Bengaluru,255,123,48.24
Delhi Capitals,252,115,45.63
Kolkata Knight Riders,251,131,52.19
Punjab Kings,246,112,45.53
Chennai Super Kings,238,138,57.98
Rajasthan Royals,221,112,50.68
Sunrisers Hyderabad,182,88,48.35
Deccan Chargers,75,29,38.67
Pune Warriors,46,12,26.09
Gujarat Titans,45,28,62.22
Lucknow Super Giants,44,24,54.55
Rising Pune Supergiant,30,15,50.0
Gujarat Lions,30,13,43.33
Kochi Tuskers Kerala,14,6,42.86
